"","idx","positive","negative","sentiment","covid","DateTime","Text"
"109",109,0,0,0,FALSE,"2020-04-03 00:15:24+00:00",""
"110",110,0,0,0,FALSE,"2020-04-03 00:13:17+00:00",""
"111",111,0,1,-1,TRUE,"2020-04-02 16:48:26+00:00","30 DAYS TO SLOW THE SPREAD"
"112",112,2,0,2,FALSE,"2020-04-02 14:54:55+00:00",".....Could be as high as 15 Million Barrels. Good (GREAT) news for everyone!"
"113",113,1,2,-1,FALSE,"2020-04-02 14:32:08+00:00","Just spoke to my friend MBS (Crown Prince) of Saudi Arabia, who spoke with President Putin of Russia, & I expect & hope that they will be cutting back approximately 10 Million Barrels, and maybe substantially more which, if it happens, will be GREAT for the oil & gas industry!"
"114",114,1,0,1,FALSE,"2020-04-02 14:12:56+00:00","“The States have to get the money to the people who need it.” @MariaBartiromo And FAST!"
"115",115,3,1,2,TRUE,"2020-04-02 13:17:22+00:00","....have been stocked up and ready long before this crisis hit. Other states are thrilled with the job we have done. Sending many Ventilators today, with thousands being built. 51 large cargo planes coming in with medical supplies. Prefer sending directly to hospitals."
"116",116,2,1,1,TRUE,"2020-04-02 13:17:21+00:00","Massive amounts of medical supplies, even hospitals and medical centers, are being delivered directly to states and hospitals by the Federal Government. Some have insatiable appetites & are never satisfied (politics?). Remember, we are a backup for them. The complainers should..."
"117",117,2,4,-2,TRUE,"2020-04-02 12:57:41+00:00","...It wouldn’t matter if you got ten times what was needed, it would never be good enough. Unlike other states, New York unfortunately got off to a late start. You should have pushed harder. Stop complaining & find out where all of these supplies are going. Cuomo working hard!"
"118",118,2,1,1,TRUE,"2020-04-02 12:57:41+00:00","Somebody please explain to Cryin’ Chuck Schumer that we do have a military man in charge of distributing goods, a very talented Admiral, in fact. New York has gotten far more than any other State, including hospitals & a hospital ship, but no matter what, always complaining....."
"119",119,0,4,-4,FALSE,"2020-04-01 17:05:30+00:00","Upon information and belief, Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens, Iran will pay a very heavy price, indeed!"
"120",120,3,0,3,FALSE,"2020-04-01 16:36:30+00:00","Congress must pass the old, and very strongly proven, deductibility by businesses on restaurants and entertainment. This will bring restaurants, and everything related, back - and stronger than ever. Move quickly, they will all be saved!"
"121",121,0,0,0,FALSE,"2020-04-01 00:32:46+00:00",""
"122",122,0,0,0,FALSE,"2020-04-01 00:32:16+00:00",""
"123",123,0,1,-1,TRUE,"2020-03-31 23:49:05+00:00","30 DAYS TO SLOW THE SPREAD #COVIDー19 http://CoronaVirus.gov"
"124",124,3,0,3,FALSE,"2020-03-31 20:56:23+00:00","Great work @AtlasAirWW, thank you!"
"125",125,0,0,0,FALSE,"2020-03-31 20:27:41+00:00","Will be starting The White House news conference at 5:15 P.M. Eastern."
"126",126,3,1,2,FALSE,"2020-03-31 19:52:52+00:00","My proposal to the politically correct Automobile Companies would lower the average price of a car to consumers by more than 3500, while at the same time making the cars substantially safer. Engines would run smoother. Positive impact on the environment! Foolish executives!"
"127",127,2,4,-2,FALSE,"2020-03-31 19:51:32+00:00","My Administration is helping U.S. auto workers by replacing the failed Obama Emissions Rule. Impossible to satisfy its Green New Deal Standard; Lots of unnecessary and expensive penalties to car buyers!"
"128",128,5,1,4,TRUE,"2020-03-31 19:50:29+00:00","Great news! American families will now be able to buy safer, more affordable, and environmentally friendly cars with our new SAFE VEHICLES RULE. Get rid of those old, unsafe clunkers. Build better and safer American cars and create American jobs. Buy American!"
"129",129,1,1,0,FALSE,"2020-03-31 14:55:00+00:00","Thank you Mike!"
"130",130,2,0,2,FALSE,"2020-03-31 14:48:43+00:00","With interest rates for the United States being at ZERO, this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG & BOLD, Two Trillion Dollars, and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase 4"
"131",131,1,7,-6,FALSE,"2020-03-31 13:18:13+00:00","I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say, & what moves she was planning to further hurt our Country. Actually, other than her usual complaining that I’m a terrible person, she wasn’t bad. Still praying!"
"132",132,4,2,2,FALSE,"2020-03-31 11:27:06+00:00","“New York Governor Cuomo says President Trump has been “very helpful.” @foxandfriends Thank you, everybody is working very hard!"
"133",133,0,0,0,FALSE,"2020-03-30 22:24:57+00:00",""
"134",134,1,0,1,FALSE,"2020-03-30 20:50:35+00:00","White House news conference at 5:00 P.M. Eastern. Thank you!"
"135",135,0,0,0,FALSE,"2020-03-30 17:46:15+00:00",""
"136",136,5,0,5,FALSE,"2020-03-30 17:11:59+00:00","On #NationalDoctorsDay, we recognize the remarkable men & women who treat their fellow Americans, find cures for the diseases & illnesses we face, and never waver in their efforts to treat every patient with the dignity, respect, and empathy they deserve."
"137",137,0,0,0,FALSE,"2020-03-30 17:05:33+00:00",""
"138",138,2,7,-5,TRUE,"2020-03-30 11:17:10+00:00","Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week, trying to add real “junk” into the Bill. Got some bad things, having nothing to do with those affected by the Virus, included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!"
"139",139,5,0,5,FALSE,"2020-03-30 11:07:25+00:00","Thank you Dr. Hahn & the FDA for your fast approval of this respected Ohio company recommended by Governor @MikeDeWine. Great potential!"
"140",140,2,0,2,FALSE,"2020-03-30 05:15:37+00:00","Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!"
"141",141,0,0,0,FALSE,"2020-03-29 23:43:14+00:00",""
"142",142,0,0,0,FALSE,"2020-03-29 23:43:07+00:00",""
"143",143,0,0,0,FALSE,"2020-03-29 20:57:55+00:00","Will be starting The White House news conference at 5:30 P.M. Eastern."
